Headline,Summary,Link,Date
Honoring Veterans and Employees for Their Local Contributions,"In honor of his outstanding volunteer work in 2022, Ryan Whitman, manager of our Smart Energy Network project, was one of three Atlantic City Electric employees who recently received Exelon’s Powering Communities Employee Volunteer Award.",https://www.csrwire.com/press_releases/794631-honoring-veterans-and-employees-their-local-contributions,02-09-24
"New Study Shows Mixed Reality Technology for Blood Donation From Abbott and Blood Centers of America Helps Ease Stress, Encourages People To Donate Again","Results from the pilot study reveal that mixed reality ""is an innovative technology that holds promise to increase donor engagement, satisfaction, and retention,"" researchers said.",https://www.csrwire.com/press_releases/794626-new-study-shows-mixed-reality-technology-blood-donation-abbott-and-blood,02-09-24
Where People Can Turn When They Need Help Paying Utility Bills,"As executive director of Crisis Control Ministry, Margaret Elliott knows how easy it is for people to fall behind on paying their utility bills, and once things start to snowball, it’s hard to stop those bills from piling up.",https://www.csrwire.com/press_releases/794621-where-people-can-turn-when-they-need-help-paying-utility-bills,02-09-24
"YWCA Receives $240,000 Grant from KeyBank ","YWCA Seattle | King | Snohomish has received a $240,000 grant from KeyBank to support YWCA's Pathways for Women, an emergency shelter in Lynnwood, WA serving unhoused adult women and women with children under 18.",https://www.csrwire.com/press_releases/794616-ywca-receives-240000-grant-keybank,02-09-24
All Otis Manufacturing Facilities in China Earn Zero Waste Certification,Otis Worldwide has achieved Gold-level TRUE (Total Resource Use and Efficiency) zero waste certification for all of its five manufacturing facilities in China. ,https://www.csrwire.com/press_releases/794611-all-otis-manufacturing-facilities-china-earn-zero-waste-certification,02-09-24
Eastman Earns Top Score in Human Rights Campaign Foundation’s 2023–2024 Corporate Equality Index,"Eastman proudly announced that it received a score of 100 on the Human Rights Campaign Foundation’s 2023-2024 Corporate Equality Index, the nation’s foremost benchmarking survey and report measuring corporate policies and practices related to LGBTQ+ workplace equality.",https://www.csrwire.com/press_releases/794606-eastman-earns-top-score-human-rights-campaign-foundations-2023-2024-corporate,02-09-24
The Public Affairs Council Honors International Paper for Grassroots Innovation Award for Period Poverty Initiative,"The Public Affairs Council honored the winners of the 2024 Innovation Awards during its annual Advocacy Conference in Austin, Texas on January 30, 2024.",https://www.csrwire.com/press_releases/794601-public-affairs-council-honors-international-paper-grassroots-innovation-award,02-09-24
Everyday Heroes. Extraordinary Impact,"At Regions we believe that heroism resides not just in history books but among us every day. This Black History Month, we celebrate Black heroes in our communities who work tirelessly to make life better for all.",https://www.csrwire.com/press_releases/794596-everyday-heroes-extraordinary-impact,02-09-24
Aflac Incorporated a Fortune Most Admired Company for 23rd Time,"Aflac Incorporated has been named to Fortune Magazine's list of World's Most Admired Companies for the 23rd time, ranking No. 1 in the Insurance: Life and Health category as a long-term investment for the second consecutive year.",https://www.csrwire.com/press_releases/794591-aflac-incorporated-fortune-most-admired-company-23rd-time,02-09-24
Delmarva Power Delivers More Than Energy for Its Community,"Delmarva Power is proud to partner with more than 200 local non-profits in Delaware and Maryland that support neighbors in need, advance career opportunities, and create a stronger, more connected community.",https://www.csrwire.com/press_releases/794586-delmarva-power-delivers-more-energy-its-community,02-09-24
CNH Launches Program To Support the Future of India’s Construction Industry,"CNH is committed to standing with the world’s farmers and construction workers as part of their everlasting commitment to sustainability, innovation, and productivity.",https://www.csrwire.com/press_releases/794581-cnh-launches-program-support-future-indias-construction-industry,02-09-24
"Why Hundreds of Leaders, Academics and Industry Experts Came Together To Support Racial Equity","In partnership with Northwestern University's Kellogg School of Management, my alma mater and a highly recognized institution in research and studies related to social impact, Northwestern Mutual hosted its first-ever Gather Against the Gap event here in Milwaukee.",https://www.csrwire.com/press_releases/794576-why-hundreds-leaders-academics-and-industry-experts-came-together-support,02-09-24
Experts: Show What You Know in a Skills-First Job Market,"Lydia Logan, IBM VP of Global Education and Workforce Development, recently joined Whiteboard Advisors, along with other industry experts, to talk about IBM SkillsBuild, the shift towards skills-based learning across the industry, and hiring trends.",https://www.csrwire.com/press_releases/794571-experts-show-what-you-know-skills-first-job-market,02-09-24
Boosting Office Attendance: Selling & Delivering Workplace Value to Employees,"Many companies and their employees remain out of sync on the amount of time workers should be in the office, according to a CBRE and CoreNet Global survey of 235 corporate real estate professionals.",https://www.csrwire.com/press_releases/794566-boosting-office-attendance-selling-delivering-workplace-value-employees,02-09-24
Cisco: Purpose. Partnership. Impact.,"Last month, Cisco announced we exceeded our ten-year goal to positively impact one billion lives – more than one year early.",https://www.csrwire.com/press_releases/794556-cisco-purpose-partnership-impact,02-08-24
Toilet Board Coalition Recognizes Global Sanitation Businesses as Accelerator Graduates,"The Toilet Board Coalition, founded in 2015 to accelerate business solutions to the sanitation crisis, honored 12 global sanitation businesses addressing the sanitation crisis as 2023 graduates of its Accelerator program.",https://www.csrwire.com/press_releases/794551-toilet-board-coalition-recognizes-global-sanitation-businesses-accelerator,02-08-24
Georgia-Pacific Uses Proven Methodologies To Guide Environmental Stewardship Initiatives,"Guided by our Stewardship Framework, Georgia-Pacific seeks to improve lives, deliver better products, and develop technology and initiatives to consume fewer resources.",https://www.csrwire.com/press_releases/794546-georgia-pacific-uses-proven-methodologies-guide-environmental-stewardship,02-08-24
"Boston Scientific: Honoring Our Indigenous Community – Past, Present and Future","For more than 30 years, November has been celebrated as Native American Heritage Month (formerly National American Indian Heritage Month) in the United States. ",https://www.csrwire.com/press_releases/794541-boston-scientific-honoring-our-indigenous-community-past-present-and-future,02-08-24
National Apprenticeship Week 2024: Skills For Life,“Skills for Life” is both an inspirational and very appropriate theme for this year’s National Apprenticeship Week. The half-life of skills is shrinking making continuous learning essential. ,https://www.csrwire.com/press_releases/794536-national-apprenticeship-week-2024-skills-life,02-08-24
